circuit,tournament,country,year,date,gender,match_num,w_player1,w_p1_birthdate,w_p1_age,w_p1_hgt,w_p1_country,w_player2,w_p2_birthdate,w_p2_age,w_p2_hgt,w_p2_country,w_rank,l_player1,l_p1_birthdate,l_p1_age,l_p1_hgt,l_p1_country,l_player2,l_p2_birthdate,l_p2_age,l_p2_hgt,l_p2_country,l_rank,score,duration,bracket,round,w_p1_tot_attacks,w_p1_tot_kills,w_p1_tot_errors,w_p1_tot_hitpct,w_p1_tot_aces,w_p1_tot_serve_errors,w_p1_tot_blocks,w_p1_tot_digs,w_p2_tot_attacks,w_p2_tot_kills,w_p2_tot_errors,w_p2_tot_hitpct,w_p2_tot_aces,w_p2_tot_serve_errors,w_p2_tot_blocks,w_p2_tot_digs,l_p1_tot_attacks,l_p1_tot_kills,l_p1_tot_errors,l_p1_tot_hitpct,l_p1_tot_aces,l_p1_tot_serve_errors,l_p1_tot_blocks,l_p1_tot_digs,l_p2_tot_attacks,l_p2_tot_kills,l_p2_tot_errors,l_p2_tot_hitpct,l_p2_tot_aces,l_p2_tot_serve_errors,l_p2_tot_blocks,l_p2_tot_digs
AVP,Belmar,United States,2004,2004-07-08,M,44,Jim Nichols,2066-11-04,37.6755647,71,United States,Matt Olson,1980-01-02,24.5147159,74,United States,12,Chad Mowrey,1977-07-19,26.9705681,73,United States,Ed Ratledge,1976-12-16,27.559206,80,United States,11,"18-21, 24-22, 15-11",01:06:00,Contender's Bracket,Round 2,60,22,5,0.283,1,2,0,16,23,13,3,0.435,0,1,5,7,39,14,6,0.205,0,1,0,23,37,19,4,0.405,0,0,1,7
FIVB,Rio de Janeiro,Brazil,2003,2003-10-14,M,81,Martin Laciga,1975-01-25,28.7173169,77,Switzerland,Paul Laciga,1970-11-24,32.8870637,76,Switzerland,3,Dmitri Barsouk,1980-01-20,23.7316906,75,Russia,Roman Arkaev,1973-11-02,29.9466119,77,Russia,29,"21-16, 19-21, 15-13",00:52:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Manhattan Beach,United States,2013,2013-08-23,M,2,Alejandro Parra,1982-09-19,30.9267625,NA,United States,Paul Araiza,1981-10-29,31.816564,73,United States,Q33,Brook Billings,1980-04-30,33.3141684,77,United States,Chris Icaza,1987-02-19,26.5078713,NA,United States,Q32,"21-14, 21-15",00:38:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Tempe,United States,2004,2004-04-23,W,31,Dianne DeNecochea,2067-11-16,36.4353183,76,United States,Tammy Leibl,2065-03-06,39.1321013,71,United States,7,Liz Pagano,1971-10-27,32.4900753,69,United States,Sharman Mitchell,1973-05-23,30.9185489,72,United States,18,"21-13, 21-12",00:36:00,Contender's Bracket,Round 2,11,8,0,0.727,2,3,3,5,27,11,3,0.296,2,1,0,10,9,3,2,0.111,0,1,0,8,26,9,1,0.308,1,1,0,3
AVP,Tempe,United States,2005,2005-04-22,M,51,Anthony Medel,1978-03-28,27.0691307,75,United States,Ty Loomis,1979-05-01,25.9767283,75,United States,"22, Q5",Jon Thompson,1977-04-01,28.0574949,78,United States,Steve Delaney,1976-03-08,29.1225188,77,Canada,Q12,"21-17, 21-18",00:45:00,Qualifier Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Boston,United States,2007,2007-08-16,W,20,Elaine Youngs,1970-02-14,37.5003422,72,United States,Nicole Branagh,1979-01-31,28.5393566,74,United States,2,Carrie Dodd,1974-05-19,33.2429843,72,United States,Tatiana Minello,1970-03-01,37.4592745,66,Brazil,7,"20-22, 21-14, 15-7",00:55:00,Winner's Bracket,Round 3,17,10,1,0.529,1,2,1,10,37,23,2,0.568,3,2,3,3,28,15,4,0.393,0,3,0,7,31,20,6,0.452,0,3,0,9
AVP,Brooklyn,United States,2008,2008-07-18,M,1,Phil Dalhausser,1980-01-26,28.476386,81,United States,Todd Rogers,1973-09-30,34.7980835,74,United States,1,Clint Coe,1982-05-08,26.1957563,75,United States,Duncan Budinger,1984-06-15,24.0903491,80,United States,32,"21-12, 22-20",00:42:00,Winner's Bracket,Round 1,16,14,1,0.813,2,5,3,6,20,12,4,0.4,0,0,0,9,25,11,4,0.28,1,4,1,4,17,8,3,0.294,1,3,1,0
FIVB,Klagenfurt,Austria,2010,2010-07-27,M,54,Clemens Doppler,1980-09-06,29.8863792,79,Austria,Matthias Mellitzer,1980-09-09,29.8781656,77,Austria,32,Martin Spinnangr,1987-05-05,23.2279261,78,Norway,Tarjei Skarlund,1978-11-06,31.7207392,75,Norway,27,"19-21, 21-14, 15-13",01:00:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2001,2001-06-20,M,16,Martin Laciga,1975-01-25,26.4010951,77,Switzerland,Paul Laciga,1970-11-24,30.5708419,76,Switzerland,2,David Klemperer,1980-06-22,20.9938398,74,Germany,Niklas Rademacher,1982-03-03,19.2991102,81,Germany,"31, Q51","18-21, 21-13, 15-8",00:44:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Daegu,Korea,2019,2019-07-11,W,10,Eva Freiberger,1989-04-30,30.1957563,NA,Austria,Valerie Teufl,1986-09-04,32.8487337,71,Austria,1,Wai Yan Au Yeung,1988-02-26,31.3702943,NA,Hong Kong,Yung Yung Koo,1995-08-22,23.8850103,NA,Hong Kong,8,"21-19, 21-23, 15-6",00:45:00,Pool A,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Klagenfurt,Austria,2004,2004-07-28,M,13,Franco Neto,2066-11-11,37.7111567,76,Brazil,Tande Ramos,1970-03-20,34.3572895,78,Brazil,7,Dax Holdren,1972-09-04,31.8959617,75,United States,Stein Metzger,1972-11-17,31.6933607,75,United States,26,"21-18, 21-19",00:50:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Belmar,United States,2004,2004-07-08,M,17,Karch Kiraly,2060-11-03,43.6769336,74,United States,Mike Lambert,1974-04-14,30.2340862,78,United States,1,Scott Davenport,1971-09-12,32.8213552,72,United States,Scott Lane,1974-02-21,30.3764545,78,United States,17,"21-13, 21-18",00:39:00,Winner's Bracket,Round 2,22,16,1,0.682,1,1,0,16,18,10,3,0.389,0,2,7,4,12,2,5,-0.25,2,0,0,5,31,19,4,0.484,1,0,2,5
FIVB,Klagenfurt,Austria,2006,2006-08-02,W,34,Imara Esteves Ribalta,1978-04-15,28.2984257,70,Cuba,Milagros Crespo,1979-02-04,27.4907598,68,Cuba,17,Hana Skalnikova,1982-03-29,24.3449692,72,Czech Republic,Tereza Petrova,1982-03-25,24.3559206,69,Czech Republic,"32, Q16","21-18, 21-12",00:33:00,Pool A,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Fort Lauderdale,United States,2018,2018-02-27,M,38,Alex Ranghieri,1987-06-18,30.696783,78,Italy,Marco Caminati,1992-09-23,25.4291581,75,Italy,24,Andre Loyola,1994-08-19,23.5263518,79,Brazil,Evandro Goncalves,1990-07-17,27.6167009,83,Brazil,2,"21-17, 21-15",00:38:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Klagenfurt,Austria,2003,2003-07-31,M,52,Markus Egger,1975-02-24,28.4298426,75,Switzerland,Sascha Heyer,1972-07-21,31.0253251,80,Switzerland,15,Sean Scott,1973-06-29,30.0862423,77,United States,Todd Rogers,1973-09-30,29.8316222,74,United States,14,"21-19, 21-18",00:41:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,New York,United States,2017,2017-06-08,W,10,Brooke Sweat,1986-03-27,31.2005476,68,United States,Summer Ross,1992-12-20,24.4654346,73,United States,5,Kelly Claes,1995-09-18,21.7221081,74,United States,Sara Hughes,1995-02-14,22.3134839,70,United States,13,"22-20, 21-14",00:36:00,Winner's Bracket,Round 2,30,13,2,0.367,0,1,0,21,28,16,0,0.571,2,2,1,4,18,7,2,0.278,0,2,0,5,40,22,6,0.4,0,2,0,17
FIVB,Carolina Beach,Puerto Rico,2004,2004-06-09,M,41,Benjamin Insfran,1972-04-14,32.1533196,77,Brazil,Marcio Araujo,1973-10-12,30.6584531,76,Brazil,1,Ramon Hernandez,1972-07-16,31.8986995,75,Puerto Rico,Raul Papaleo,1971-10-11,32.6625599,73,Puerto Rico,9,"21-14, 16-21, 15-10",01:03:00,Winner's Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Huntington Beach,United States,2005,2005-08-11,M,118,David Fischer,1972-04-09,33.338809,75,United States,Scott Hill,1976-04-02,29.357974,75,United States,"25, Q6",Art Barron,1974-08-17,30.9842574,72,United States,Mike Szymanski,1976-10-18,28.8131417,76,United States,Q11,"21-19, 21-13",00:45:00,Qualifier Bracket,Round 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2014,2014-07-09,M,42,Ben Saxton,1988-11-21,25.6290212,79,Canada,Chaim Schalk,1986-04-23,28.2108145,77,Canada,21,Theo Brunner,1985-03-17,29.3114305,79,United States,Todd Rogers,1973-09-30,40.7720739,74,United States,"28, Q7","22-20, 26-24",00:41:00,Pool E,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Berlin,Germany,2013,2013-08-06,M,42,Christian Garcia,1986-11-01,26.7624914,75,Spain,Francisco Alfredo Marco,1986-10-04,26.8391513,71,Spain,"28, Q12",Ryan Doherty,1984-02-02,29.5085558,85,United States,Todd Rogers,1973-09-30,39.8494182,74,United States,21,"18-21, 21-17, 15-8",00:47:00,Pool E,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2012,2012-08-14,M,35,Jake Gibb,1976-02-06,36.5201916,79,United States,Sean Rosenthal,1980-06-19,32.1533196,76,United States,2,Eric Koreng,1981-05-16,31.247091,76,Germany,Sebastian Fuchs,1986-07-24,26.0588638,79,Germany,15,"21-14, 21-15",00:36:00,Pool K,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Xiamen,China,2019,2019-04-23,W,35,Brooke Sweat,1986-03-27,33.0732375,68,United States,Kerri Walsh Jennings,1978-08-15,40.6872005,75,United States,"27, Q5",Cinja Tillmann,1991-07-13,27.7782341,69,Germany,Kim Behrens,1992-09-22,26.5817933,70,Germany,"26, Q4","21-16, 21-17",00:34:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Acapulco,Mexico,2005,2005-10-25,M,31,Linyin Xu,1986-03-20,19.6002738,79,China,Penggen Wu,1982-05-07,23.4688569,78,China,"23, Q13",Bernhard Strauss,1975-05-28,30.4120465,74,Austria,Florian Gosch,1980-08-16,25.1909651,77,Austria,"26, Q8","21-15, 21-15",00:44:00,Contender's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Puerto Vallarta,Mexico,2014,2014-05-07,W,6,Caleigh Whitaker,1990-02-14,24.2245038,70,Canada,Kacie MacTavish,1988-10-09,25.574264199999998,68,Canada,19,Karin Lundqvist,1981-10-05,32.5859001,74,Sweden,Nina Grawender,1987-10-15,26.5598905,75,Sweden,14,"22-20, 27-25",00:46:00,Pool C,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2015,2015-07-07,M,15,Alexander Huber,1985-07-25,29.9493498,71,Austria,Robin Seidl,1990-01-21,25.4565366,75,Austria,Q15,Aleksandrs Solovejs,1991-01-11,24.4845996,79,Latvia,Rihards Finsters,1991-05-21,24.128679,76,Latvia,Q18,"23-25, 21-19, 15-9",00:47:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Samsun,Turkey,2018,2018-07-26,M,21,Donovan Dzavoronok,1997-07-23,21.0075291,NA,Czech Republic,Jindrich Weiss,1984-05-17,34.1902806,74,Czech Republic,8,Djordje Klasnic,1995-06-16,23.1101985,76,Serbia,Marko Plavsic,1990-09-25,27.8329911,73,Serbia,7,"21-15, 21-14",00:37:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Long Beach,United States,2010,2010-07-24,M,10,Aaron Wachtfogel,1981-11-08,28.7063655,73,United States,Bill Strickland,1980-12-26,29.574264199999998,81,United States,5,Jake Gibb,1976-02-06,34.4613279,79,United States,Sean Rosenthal,1980-06-19,30.0944559,76,United States,4,"24-26, 21-16, 16-14",01:10:00,Winner's Bracket,Round 2,38,23,5,0.474,0,6,0,9,25,17,4,0.52,1,1,4,1,34,22,5,0.5,1,1,3,1,27,16,5,0.407,0,6,3,10
AVP,Birmingham,United States,2006,2006-07-13,M,24,Phil Dalhausser,1980-01-26,26.4613279,81,United States,Todd Rogers,1973-09-30,32.7830253,74,United States,2,Jason Ring,1974-07-21,31.9780972,75,United States,Paul Baxter,1972-02-01,34.4449008,77,United States,15,"21-13, 21-19",00:39:00,Winner's Bracket,Round 2,22,11,3,0.364,0,5,6,7,22,17,0,0.773,1,1,0,8,10,6,2,0.4,0,3,0,3,38,17,8,0.237,0,0,0,10
FIVB,Roseto degli Abruzzi,Italy,2007,2007-05-23,M,55,Jason Kruger,1978-05-16,29.0184805,76,Canada,Wes Montgomery,1977-10-28,29.5660507,76,Canada,"29, Q10",Christian Garcia,1986-11-01,20.5557837,75,Spain,Inocencio Lario,1984-02-28,23.2306639,77,Spain,"28, Q7","21-18, 21-14",00:42:00,Qualifier Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Austin,United States,2017,2017-05-18,M,78,Dillon Lesniak,1990-05-24,26.9842574,NA,Virgin Islands,Tal Shavit,1986-04-07,31.1129363,NA,United States,Q20,Josh Crouch,1975-04-29,42.0533881,NA,United States,Tom Starck,1975-09-15,41.6728268,NA,United States,Q45,"21-10, 21-14",00:40:00,Qualifier Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Manhattan Beach,United States,2002,2002-08-08,W,46,Cary Wendell,1974-04-04,28.3449692,71,United States,Jennifer Kessy,1977-07-31,25.0212183,72,United States,16,Liz Pagano,1971-10-27,30.7816564,69,United States,Michelle Hughes,1969-11-07,32.7501711,67,United States,18,"24-22, 21-19",00:43:00,Contender's Bracket,Round 2,NA,NA,NA,NA,2,NA,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA
FIVB,Paris,France,2008,2008-06-17,M,70,Phil Dalhausser,1980-01-26,28.3915127,81,United States,Todd Rogers,1973-09-30,34.7132101,74,United States,3,Harley Marques,1974-07-06,33.9493498,76,Brazil,Pedro Solberg,1986-03-27,22.2258727,76,Brazil,7,"21-16, 23-21",00:56:00,Semifinals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Hermosa Beach,United States,2005,2005-07-21,W,16,Catie Mintz,1977-01-13,28.5174538,69,United States,Jeannette Hecker,1978-04-25,27.2388775,69,United States,"27, Q4",April Chapple,2063-12-21,41.5824778,71,United States,Heather Hafner,2061-12-28,43.5619439,70,United States,Q61,"21-10, 21-9",00:36:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Belmar,United States,2010,2010-06-25,M,5,Aaron Wachtfogel,1981-11-08,28.6269678,73,United States,Bill Strickland,1980-12-26,29.4948665,81,United States,5,Andrew Fuller,1984-05-09,26.1273101,82,United States,David Fischer,1972-04-09,38.2094456,75,United States,"28, Q5","21-15, 21-11",00:35:00,Winner's Bracket,Round 1,11,10,1,0.818,6,6,0,5,18,11,1,0.556,1,1,3,2,20,12,5,0.35,1,4,1,1,12,4,2,0.167,0,3,0,3
FIVB,St. Petersburg,Russia,2007,2007-08-28,W,28,Doris Schwaiger,1985-02-28,22.4941821,68,Austria,Stefanie Schwaiger,1986-08-07,21.0568104,72,Austria,20,Hiromi Suzuki,1978-11-14,28.7857632,73,Japan,Satoko Urata,1980-12-22,26.6803559,69,Japan,"29, Q11","21-15, 21-18",00:36:00,Contender's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Acapulco,Mexico,2005,2005-10-26,W,15,Efthalia Koutroumanidou,1982-10-07,23.0527036,70,Greece,Maria Tsiartsiani,1980-10-21,25.0130048,71,Greece,15,Eva Hamzaoui,1985-02-04,20.7227926,70,France,Tatiana Barrera,1981-05-09,24.4654346,70,France,18,"21-14, 21-17",00:40:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Austin,United States,2019,2019-05-16,W,28,Kimberly Hildreth,1991-01-21,28.3148528,NA,United States,Sarah Schermerhorn,1988-11-23,30.4750171,NA,United States,"14, Q7",Falyn Fonoimoana,1992-03-13,27.1731691,76,United States,Nicolette Martin,1995-03-02,24.2053388,69,United States,10,"21-18, 21-19",00:47:00,Semifinals,NA,18,10,2,0.444,1,0,0,9,34,18,3,0.441,1,1,4,1,43,22,9,0.302,1,1,1,3,15,7,2,0.333,1,0,0,9
FIVB,Klagenfurt,Austria,2002,2002-07-31,W,6,Annette Huygens Tholen,2066-01-01,36.5776865,67,Australia,Nicole Sanderson,1976-04-01,26.329911,72,Australia,22,Efthalia Koutroumanidou,1982-10-07,19.8138261,70,Greece,Katerina Nikolaidou,1976-12-08,25.6427105,NA,Greece,46,"21-11, 19-21, 15-13",00:52:00,Pool C,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Fortaleza,Brazil,2002,2002-10-01,M,7,Mariano Baracetti,1974-07-12,28.2217659,76,Argentina,Martin Conde,1971-08-25,31.1019849,73,Argentina,4,Antonio Cotrino,1976-11-25,25.8480493,79,Spain,Jose Luis Lobato,1977-02-19,25.6125941,74,Spain,20,"21-11, 21-16",00:38:00,Pool D,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Phnom Penh,Cambodia,2019,2019-02-21,W,32,Khanittha Hongpak,1994-05-06,24.7967146,68,Thailand,Varapatsorn Radarong,1988-03-20,30.9240246,70,Thailand,4,Ayumi Kusano,1985-06-22,33.6673511,69,Japan,Takemi Nishibori,1981-08-20,37.5058179,67,Japan,2,"22-20, 17-21, 15-10",00:59:00,Winner's Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Rio de Janeiro,Brazil,2003,2003-10-07,W,21,Ana Richa,2066-12-03,36.843258,69,Brazil,Larissa Franca,1982-04-14,21.4811773,69,Brazil,47,Ingrid Torlen,1979-07-21,24.2135524,69,Norway,Nila Ann Hakedal,1979-06-13,24.3175907,70,Norway,23,"25-23, 18-21, 15-12",00:59:00,Pool B,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Manhattan Beach,United States,2003,2003-08-07,M,88,Eric Fonoimoana,1969-06-07,34.16564,75,United States,Kevin Wong,1972-09-12,30.899384,79,United States,7,Larry Witt,1979-07-13,24.0684463,78,United States,Sean Rosenthal,1980-06-19,23.1321013,76,United States,6,"21-17, 21-17",00:50:00,Contender's Bracket,Round 6,13,7,NA,0.538,0,NA,2,10,28,19,NA,0.679,0,NA,4,4,32,16,NA,0.5,0,NA,0,7,17,12,NA,0.706,1,NA,0,5
AVP,Santa Barbara,United States,2006,2006-05-18,M,12,Jim Nichols,2066-11-04,39.5345654,71,United States,Mike Morrison,1979-01-07,27.3593429,78,United States,"27, Q4",Karch Kiraly,2060-11-03,45.5359343,74,United States,Larry Witt,1979-07-13,26.8473648,78,United States,6,"21-18, 21-18",00:39:00,Winner's Bracket,Round 1,24,11,2,0.375,0,0,0,21,33,20,7,0.394,0,0,6,3,47,21,5,0.34,0,0,0,11,8,2,2,0,0,1,5,5
AVP,Atlanta,United States,2007,2007-06-07,W,21,Colleen Smith,1978-08-12,28.8186174,78,United States,Jill Muhe,1975-11-02,31.5947981,68,United States,Q3,Amy Hvitfeldtsen,1978-10-24,28.6187543,73,United States,Jessie Cooper,1981-06-15,25.9767283,74,United States,Q14,"21-19, 21-19",00:40:00,Qualifier Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Itapema,Brazil,2018,2018-05-16,M,11,"Gustavo ""Guto"" Carvalhaes",1993-08-20,24.7364819,73,Brazil,Vitor Felipe,1991-03-10,27.1841205,76,Brazil,6,Clemens Wickler,1995-04-28,23.0499658,75,Germany,Julius Thole,1997-05-17,20.9965777,81,Germany,"27, Q4","22-24, 21-18, 15-13",00:56:00,Pool F,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Corrientes,Argentina,2013,2013-05-22,W,1,Irina Chaika,1991-01-13,22.3545517,71,Russia,Maria Prokopeva,1986-08-16,26.7652293,72,Russia,32,Ana Gallay,1986-01-16,27.3456537,68,Argentina,Virginia Zonta,1989-09-30,23.6413415,67,Argentina,1,"21-19, 21-18",00:40:00,Pool A,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Stare Jablonki,Poland,2010,2010-08-02,W,5,Laura Ludwig,1986-01-13,24.550308,70,Germany,Sara Niedrig,1984-05-21,26.1984942,71,Germany,3,Jana Kohler,1986-01-11,24.5557837,70,Germany,Julia Sude,1987-09-02,22.9158111,73,Germany,"30, Q21","21-12, 21-17",00:35:00,Pool C,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Seaside Heights,United States,2006,2006-06-29,M,34,Scott Davenport,1971-09-12,34.7953457,72,United States,Scott Lane,1974-02-21,32.3504449,78,United States,20,Dana Camacho,1977-01-25,29.4236824,69,United States,Ivan Mercer,1976-09-19,29.7741273,78,United States,"29, Q6","21-14, 21-18",00:39:00,Contender's Bracket,Round 1,10,7,0,0.7,0,2,0,5,23,18,1,0.739,0,1,2,7,18,12,3,0.5,0,3,0,9,21,13,3,0.476,0,1,1,1
FIVB,Berlin,Germany,2012,2012-07-10,M,10,Christian Garcia,1986-11-01,25.6892539,75,Spain,Francisco Alfredo Marco,1986-10-04,25.7659138,71,Spain,Q19,Anders Lund Hoyer,1983-09-04,28.8487337,78,Denmark,Soeren Hoyer,1989-09-21,22.8008214,80,Denmark,Q14,"21-18, 21-17",00:42:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Shanghai,China,2010,2010-05-03,M,50,Alexander Horst,1982-12-20,27.3675565,73,Austria,Florian Gosch,1980-08-16,29.7111567,77,Austria,12,Jefferson Bellaguarda,1976-09-12,33.6372348,76,Switzerland,Martin Laciga,1975-01-25,35.2689938,77,Switzerland,8,"21-17, 22-20",00:38:00,Contender's Bracket,Round 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
