circuit,tournament,country,year,date,gender,match_num,w_player1,w_p1_birthdate,w_p1_age,w_p1_hgt,w_p1_country,w_player2,w_p2_birthdate,w_p2_age,w_p2_hgt,w_p2_country,w_rank,l_player1,l_p1_birthdate,l_p1_age,l_p1_hgt,l_p1_country,l_player2,l_p2_birthdate,l_p2_age,l_p2_hgt,l_p2_country,l_rank,score,duration,bracket,round,w_p1_tot_attacks,w_p1_tot_kills,w_p1_tot_errors,w_p1_tot_hitpct,w_p1_tot_aces,w_p1_tot_serve_errors,w_p1_tot_blocks,w_p1_tot_digs,w_p2_tot_attacks,w_p2_tot_kills,w_p2_tot_errors,w_p2_tot_hitpct,w_p2_tot_aces,w_p2_tot_serve_errors,w_p2_tot_blocks,w_p2_tot_digs,l_p1_tot_attacks,l_p1_tot_kills,l_p1_tot_errors,l_p1_tot_hitpct,l_p1_tot_aces,l_p1_tot_serve_errors,l_p1_tot_blocks,l_p1_tot_digs,l_p2_tot_attacks,l_p2_tot_kills,l_p2_tot_errors,l_p2_tot_hitpct,l_p2_tot_aces,l_p2_tot_serve_errors,l_p2_tot_blocks,l_p2_tot_digs
FIVB,Vaduz,Liechtenstein,2018,2018-08-08,W,22,Dimitra Manavi,1997-02-17,21.4702259,70,Greece,Konstantina Tsopoulou,1993-06-05,25.174538,71,Greece,11,Brittany Kendall,1996-03-20,22.384668,71,Australia,Nicole Laird,1993-02-18,25.467488,75,Australia,"5, Q1","21-13, 25-23",00:36:00,Winner's Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Gstaad,Switzerland,2009,2009-07-07,M,19,Jonas Reckermann,1979-05-26,30.1163587,79,Germany,Julius Brink,1982-07-06,27.0034223,73,Germany,2,Alexander Horst,1982-12-20,26.5462012,73,Austria,Florian Gosch,1980-08-16,28.8898015,77,Austria,18,"21-17, 21-16",00:45:00,Pool B,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Athens,Greece,2004,2004-08-14,M,8,Andreas Scheuerpflug,2067-07-13,37.0896646,77,Germany,Christoph Dieckmann,1976-01-07,28.6023272,78,Germany,11,Francisco Alvarez,1969-04-12,35.340178,72,Cuba,Juan Rossell,1969-12-28,34.6283368,74,Cuba,14,"21-19, 19-21, 15-10",01:04:00,Pool B,Round 1,45,23,0,0.511,2,1,0,14,21,13,0,0.619,0,3,5,6,37,18,0,0.486,0,2,0,15,34,19,0,0.559,2,2,1,4
FIVB,St. Petersburg,Russia,2005,2005-07-05,W,2,Christie Mokotupu,NA,NA,NA,Australia,Larraine Busch,1983-04-03,22.255989,69,Australia,Q16,Sara Pothaar,1978-06-26,27.0253251,NA,Canada,Sarah Hogarth,1977-10-11,27.7316906,NA,Canada,Q17,"21-16, 21-19",00:40:00,Qualifier Bracket,Round 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Chicago,United States,2019,2019-08-29,W,49,Megan Rice,1994-02-26,25.5030801,NA,United States,Taylor Nyquist,1992-06-04,27.2334018,NA,United States,"17, Q1",Carolyn Meister,1990-02-20,29.5195072,NA,United States,Tiffany Creamer,1995-04-15,24.3723477,74,United States,Q17,"24-22, 21-19",NA,Qualifier Bracket,Round 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Huntington Beach,United States,2009,2009-05-21,M,93,Dane Pearson,2067-12-24,41.4072553,76,United States,Derek Olson,1984-03-30,25.1416838,73,United States,Q15,Patrick Volosin,1983-08-16,25.7631759,NA,United States,Tony Smith,1977-08-12,31.7727584,73,United States,Q50,"21-13, 21-18",00:40:00,Qualifier Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Espinho,Portugal,2001,2001-07-25,M,113,Katsuhiro Shiratori,1976-10-29,24.7364819,75,Japan,Satoshi Watanabe,1975-08-01,25.982204,76,Japan,"25, Q10",Chip McCaw,1973-03-24,28.3367556,76,United States,Rob Heidger,1969-06-03,32.1423682,78,United States,Q5,"21-17, 14-21, 17-15",00:59:00,Qualifier Bracket,Round 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,Austin,United States,2019,2019-05-16,M,35,Myles Muagututia,1991-03-09,28.1861739,74,United States,Travis Mewhirter,1990-08-29,28.7118412,76,United States,Q9,Christopher Vaughan,1993-08-27,25.7166324,76,United States,Tom Kohler,1987-01-19,32.3203285,75,United States,Q24,"21-11, 21-12",NA,Qualifier Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FIVB,Cincinnati,United States,2016,2016-05-17,W,56,Fan Wang,1994-01-27,22.3025325,74,China,Yuan Yue,1987-07-23,28.8186174,72,China,14,Melissa Humana-Paredes,1992-10-10,23.6002738,69,Canada,Taylor Pischke,1993-04-18,23.0800821,72,Canada,10,"21-16, 16-21, 15-12",00:45:00,Winner's Bracket,Round 1,21,8,3,0.238,2,2,3,6,38,25,5,0.526,4,1,0,11,20,10,3,0.35,1,1,0,13,45,24,8,0.356,3,1,5,3
AVP,Manhattan Beach,United States,2013,2013-08-23,M,24,Casey Patterson,1980-04-20,33.3415469,78,United States,Jake Gibb,1976-02-06,37.5441478,79,United States,2,Avery Drost,1986-09-07,26.9596167,77,United States,Will Montgomery,1990-01-09,23.6194387,74,United States,15,"21-17, 21-12",00:38:00,Winner's Bracket,Round 2,23,19,2,0.739,2,1,0,7,13,7,2,0.385,1,3,2,1,16,9,3,0.375,0,0,3,2,24,12,6,0.25,0,4,0,3
AVP,Ocean City,United States,2009,2009-06-18,W,5,Annett Davis,1973-09-22,35.7371663,71,United States,Jenny Johnson Jordan,1973-06-08,36.0273785,70,United States,5,Brooke Sweat,1986-03-27,23.2279261,68,United States,Morgan Flarity,1983-05-31,26.0506502,NA,United States,"28, Q7","21-10, 21-8",00:30:00,Winner's Bracket,Round 1,20,14,0,0.7,0,3,0,8,19,12,2,0.526,2,4,0,13,19,3,3,0,1,2,0,3,23,4,8,-0.174,0,0,0,5
FIVB,Hamburg,Germany,2016,2016-06-07,W,23,Penny Karagkouni,1993-01-07,23.4140999,74,Greece,Vasiliki Arvaniti,1985-03-17,31.2251882,72,Greece,"31, Q7",Alexandra Jupiter,1990-03-11,26.2422998,74,France,Laura Longuet,1988-01-22,28.3750856,70,France,Q10,"27-25, 21-12",00:34:00,Qualifier Bracket,Round 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AVP,San Francisco,United States,2017,2017-07-06,M,10,Maddison McKibbin,1990-11-16,26.6365503,76,United States,Ty Loomis,1979-05-01,38.1820671,75,United States,5,Brian Bomgren,1983-10-06,33.7494867,75,United States,Tim Bomgren,1987-06-01,30.0971937,76,United States,4,"21-18, 21-13",00:47:00,Winner's Bracket,Round 2,12,6,1,0.417,1,1,4,6,34,20,10,0.294,2,2,0,13,30,12,5,0.233,0,1,0,7,6,4,3,0.167,0,3,5,2
